LineTable, R1, R2, R3, R4, R5,
L1, 0, 0, 0, 0, 0,
L2, 1, 1, 1, 1, 1,
L3, 2, 2, 2, 2, 2,
L4, 3, 3, 3, 3, 3,
L5, 0, 0, 1, 0, 0,
L6, 1, 1, 2, 1, 1,
L7, 2, 2, 3, 2, 2,
L8, 1, 1, 0, 1, 1,
L9, 2, 2, 1, 2, 2,
L10, 3, 3, 2, 3, 3,
L11, 0, 1, 1, 1, 0,
L12, 1, 2, 2, 2, 1,
L13, 2, 3, 3, 3, 2,
L14, 1, 0, 0, 0, 1,
L15, 2, 1, 1, 1, 2,
L16, 3, 2, 2, 2, 3,
L17, 0, 1, 0, 1, 0,
L18, 1, 2, 1, 2, 1,
L19, 2, 3, 2, 3, 2,
L20, 1, 0, 1, 0, 1,
L21, 2, 1, 2, 1, 2,
L22, 3, 2, 3, 2, 3,
L23, 0, 1, 2, 1, 0,
L24, 1, 2, 3, 2, 1,
L25, 2, 1, 0, 1, 2,
L26, 3, 2, 1, 2, 3,
L27, 0, 0, 1, 2, 2,
L28, 1, 1, 2, 3, 3,
L29, 2, 2, 1, 0, 0,
L30, 3, 3, 2, 1, 1,
L31, 0, 1, 1, 1, 2,
L32, 1, 2, 2, 2, 3,
L33, 2, 1, 1, 1, 0,
L34, 3, 2, 2, 2, 1,
L35, 1, 2, 1, 0, 1,
L36, 2, 3, 2, 1, 2,
L37, 1, 0, 1, 2, 1,
L38, 2, 1, 2, 3, 2,
L39, 0, 0, 3, 0, 0,
L40, 3, 3, 0, 3, 3,
