ngMode, h, l,
weight, 11041, 88959,
weight, 0, 1,

fgMode, h, l,
weight, 1, 0,

ng_h, S1, S2, S3, S4, S5, S6, S7, S8, LA, LK, LQ, LJ, WD, SC,
R1, 1, 5, 1, 6, 10, 1, 1, 1, 12, 13, 1, 1, 0, 4,
R2, 5, 1, 5, 1, 1, 1, 1, 10, 1, 1, 12, 13, 7, 4,
R3, 1, 1, 1, 1, 5, 5, 5, 6, 6, 7, 7, 7, 1, 4,
R4, 5, 5, 1, 1, 1, 1, 10, 1, 1, 12, 1, 13, 7, 4,
R5, 1, 1, 5, 6, 1, 10, 1, 1, 12, 1, 13, 1, 0, 4,

ng_l, S1, S2, S3, S4, S5, S6, S7, S8, LA, LK, LQ, LJ, WD, SC,
R1, 1, 5, 1, 6, 10, 1, 1, 1, 12, 13, 1, 1, 0, 3,
R2, 5, 1, 5, 1, 1, 1, 1, 10, 1, 1, 12, 13, 1, 3,
R3, 1, 1, 1, 1, 5, 5, 5, 6, 6, 7, 7, 7, 1, 3,
R4, 5, 5, 1, 1, 1, 1, 10, 1, 1, 12, 1, 13, 1, 3,
R5, 1, 1, 5, 6, 1, 10, 1, 1, 12, 1, 13, 1, 0, 3,

fg_h, S1, S2, S3, S4, S5, S6, S7, S8, LA, LK, LQ, LJ, WD, SC,
R1, 1, 5, 1, 6, 10, 1, 1, 1, 12, 13, 1, 1, 0, 1,
R2, 5, 1, 5, 1, 1, 1, 1, 10, 1, 1, 12, 13, 1, 1,
R3, 1, 1, 1, 1, 5, 5, 5, 6, 6, 7, 7, 7, 1, 1,
R4, 5, 5, 1, 1, 1, 1, 10, 1, 1, 12, 1, 13, 1, 1,
R5, 1, 1, 5, 6, 1, 10, 1, 1, 12, 1, 13, 1, 0, 1,
